"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1330167597.76536","1320670391.06145","1379888268.15642","1531843575.41899","1665363128.49162","1722798882.68156","1873452513.96648","1920262569.8324","1941094972.06704","2021301675.97765","2228279329.60894","2331005586.59218","2421474860.3352","2623726256.98324","2791960893.85475","2498932960.89385","2467703910.61453","2584463687.15084","","","",
"Andorra","AND","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","78617570.3229253","89406659.5140116","113414331.870944","150841699.110766","186557164.008677","220112850.775998","227284165.925171","253998069.145235","308020384.39595","411548246.761169","446377494.880496","388983013.897495","375914742.918141","327849949.00321","330073024.937292","346742901.743383","481996232.885864","611300198.45912","721426027.475386","795489397.964069","1028989439.40715","1106890942.98847","1209992604.28817","1007090896.43735","1017544619.09316","1178745261.82826","1224023469.69136","1180646037.01274","1211953953.56155","1239840265.63345","1133644294.5425","1264760246.44075","1456198796.29382","1917948475.27513","2322163502.26295","2539759285.92747","2823503852.62328","3245411583.7197","3712034266.50674","","","","","","",
"Afghanistan","AFG","GDP (current US$)","NY.GDP.MKTP.CD","537777811.911111","548888894.577778","546666678.044444","751111190.755556","800000045.511111","1006666638.22222","1399999965.86667","1673333418.66667","1373333367.46667","1408888923.02222","1748886596.26667","1831108972.08889","1595555475.91111","1733333265.06667","2155555498.66667","2366666615.46667","2555555566.93333","2953333418.66667","3300000108.08889","3697940345.14177","3641723447.18433","3478787909.81818","","","","","","","","","","","","","","","","","","","","2461666314.78366","4128818042.25508","4583648921.64112","5285461999.33739","6275076016.47174","7057597614.45076","9843851009.41462","10190534636.6444","12486950468.1773","15936784437.224","17870159081.787","20506795254.4884","20309671014.6236","",
"Angola","AGO","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","6804278062.62664","6355849179.35458","7383121653.67413","7975234067.37627","9283054576.2006","10260193360.6806","12193746624.6789","5779394291.7582","5285600050.3455","4059352153.05368","5039552482.42778","7526446605.51712","7648377412.83277","6445041824.66621","6152922942.98032","9129594818.60749","8936079252.77131","12497346042.1583","14188949239.8883","19640862549.9734","28233699333.6996","41789493191.7536","60448887582.7354","84178084135.3609","75492416522.9248","82470894868.3337","104115867663.458","115341559475.426","124178241815.737","",
"Albania","ALB","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","1924242453.00793","1965384586.2409","2173750012.5","2156624900","2126000000","2335124987.5","2101624962.5","1139166676.01094","709452572.338241","1228071037.84446","1985673026.02143","2424498953.26963","3013217853.03299","2196223713.70143","2727745453.16221","3434402453.29471","3686649386.83962","4091020249.1995","4449373455.28143","5652325081.83146","7464446950.18143","8376483393.94155","9132558096.86514","10701011524.0982","12881353507.8539","12044208085.864","11926957254.6288","12890866742.6533","12344529628.0617","12923240278.3416","",
"Arab World","ARB","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","25666374894.1163","28316305841.0547","30910527986.8433","35894922054.0846","42761504415.4761","54346011204.0674","104171520718.403","115559945557.01","143926191662.762","165859385896.38","183388384317.175","247383069811.542","336533958404.118","346360975887.592","322732035751.819","302612254596.354","306654358897.441","302696147462.8","288018424182.82","311557517066.344","306163221843.082","320902061204.838","443859896980.229","436805584515.447","467834483657.11","473299323397.529","484261108020.598","520049266473.856","574468177973.69","609294244518.064","587494764644.898","634118560209.881","726012626653.227","713007194598.152","724009906745.738","815538537451.947","959405027973.279","1176100113613.77","1399822842753.85","1638668685146.15","2079570727190.08","1791752937396.52","2097884310030.28","2487905324347.04","2744380705776.77","2853079422103.94","",
"United Arab Emirates","ARE","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","14720672892.0843","19213022856.0617","24871774865.6257","23775831263.3068","31225462774.4732","43598747466.6017","49333424083.8485","46622718556.8369","42803323300.6587","41807954192.4585","40603650189.3515","33943612059.5247","36384908706.4022","36275674165.5187","41464995870.8318","50701443695.6113","51552165568.876","54239171831.4067","55625170195.5344","59305093918.2154","65743666507.5477","73571233919.7352","78839008362.6404","75674338444.807","84445475523.1266","104337375342.526","103311643522.892","109816204634.494","124346361618.639","147824374542.517","180617023539.137","222105928740.596","257916140791.417","315474644818.136","253547454485.551","286049293398.983","347454060299.355","372313965706.545","402340106795.685","",
"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD","","","24450604877.6081","18272123664.4715","25605249381.7597","28344705967.5816","28630474726.3365","24256667554.62","26436857248.0056","31256284544.7361","31584210364.5523","33293199094.6727","34733000536.4685","52544000117.2532","72436777341.9953","52438647921.8723","51169499890.7757","56781000100.9442","58082870156.265","69252328953.3803","76961923741.9469","78676842366.4213","84307486836.724","103979106777.911","79092001998.032","88416668900.2596","110934442762.694","111106191358.197","126206817196.091","76636898036.4712","141352368714.691","189719989668.103","228779382768.151","236753563469.871","257440000000","258031750000","272149750000","292859000000","298948250000","283523000000","284203750000","268696750000","102040286874.385","129597154256.313","183295704305.31","222907566120.932","264489701813.206","329761480066.765","406003733832.97","378496221140.697","462703793707.187","557727273772.913","603153016502.593","609888971036.196","",
"Armenia","ARM","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2256838858.42714","2068526521.90299","1272577521.7683","1201313196.45626","1315158670.47971","1468317350.02343","1596968913.19202","1639492424.38103","1893726437.35976","1845482181.48539","1911563665.39006","2118467913.37873","2376335048.39976","2807061008.69084","3576615240.41616","4900436758.50466","6384457744.44765","9206301700.39619","11662040713.8753","8647936747.98704","9260287416.06014","10142342769.9464","9958217880.33776","10432169571.25","",
"American Samoa","ASM","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
